ID1,ID,Extra,Date,Yesterday,Year,Start_Time,End_Time,Hatchery,Observer_Initials,ReleaseToday,Release Data,ReleaseYesterday,Cloud_Cover,Precip,Wind,Num_SeaLions,Num_HarborSeals,Num_HarborPorpoises,Num_KillerWhales,Num_SeaOtters,Num_River_Otters,Num_Mink,Num_Gulls,Num_Eagles,Num_Sea Birds,Num_PredatoryFish,Others,Uncertain,Species_MinMaxBest,Num_Skiff,Num_Pleasure,Num_CommercialFishing,Num_CruiseShipFerry,Whale_Behavior,Barrier,Num_MnHatchery,MnHatchery_MinMaxBest,Num_MnArea,MnArea_MinMaxBest,When_whales_noticed,Last_Time_Seen,Why_observation_ended,noticed during obs period,during obs period?,total time,Comments,Human_Activity,Entered_By,Tide_Direction,Tidal_Amplitude,Min_After_Change,Feed_in_the_area
15,34,,5/3/2010,5/2/2010,2010,9:30:00,10:00:00,Hidden Falls,cd,No,n,,Sunny,None,Breezy,0,1,0,0,2,,,,,,,0,0,No Min/Max/Best,1,0,0,0,No Whales,No Barrier,0,,0,,,,,,,,,,em,Ebb,13,337,
16,35,,5/3/2010,5/2/2010,2010,16:30:00,17:00:00,Hidden Falls,cd,No,n,,Sunny,None,Breezy,0,2,0,0,0,,,,,,,0,0,No Min/Max/Best,1,0,1,0,No Whales,No Barrier,0,,0,,,,,,,,,,em,Flood,10,352,
17,36,,5/4/2010,5/3/2010,2010,11:00:00,12:00:00,Hidden Falls,mm,No,n,,Sunny,None,No Wind,0,0,0,0,0,,,,,,,heron,0,No Min/Max/Best,1,0,0,0,No Whales,No Barrier,0,,0,,,,,,,,,,em,Ebb,10,410,
18,37,,5/4/2010,5/3/2010,2010,16:30:00,17:00:00,Hidden Falls,cd,No,n,,Sunny,None,No Wind,0,1,0,0,0,,,,,,,none,none,No Min/Max/Best,1,0,0,0,No Whales,No Barrier,0,,0,,,,,,,,,,em,Flood,8,307,
19,38,,5/5/2010,5/4/2010,2010,9:30:00,10:00:00,Hidden Falls,cd,Yes,n,,Partly Cloudy,Rain,Breezy,0,1,0,0,0,,,,,,,none,none,No Min/Max/Best,1,0,0,0,No Whales,No Barrier,0,,0,,,,,,,,,,em,Ebb,8,233,
20,39,,5/5/2010,5/4/2010,2010,14:30:00,15:00:00,Hidden Falls,cd,Yes,n,,Sunny,None,Breezy,0,1,0,0,0,,,,,,,none,none,No Min/Max/Best,1,0,0,0,No Whales,No Barrier,0,,0,,,,,,,,,,em,Flood,7,129,
21,40,,5/6/2010,5/5/2010,2010,8:30:00,9:00:00,Hidden Falls,cd,Yes,n,,Sunny,None,Breezy,0,1,0,0,0,,,,,,,none,none,No Min/Max/Best,1,0,0,0,No Whales,No Barrier,0,,0,,,,,,,,,,em,Ebb,6,102,
22,41,,5/6/2010,5/5/2010,2010,14:30:00,15:00:00,Hidden Falls,cd,Yes,n,,Sunny,None,Breezy,0,3,0,0,0,,,,,,,1 heron,none,No Min/Max/Best,0,0,0,0,No Whales,No Barrier,0,,0,,,,,,,,,,em,Flood,5,64,
23,42,,5/7/2010,5/6/2010,2010,9:30:00,10:00:00,Hidden Falls,cd,Yes,n,,Partly Cloudy,Rain,Breezy,1,0,0,0,0,,,,,,,1 heron,none,No Min/Max/Best,1,1,0,0,No Whales,No Barrier,0,,0,,,,,,,,,,em,Flood,6,83,
24,43,,5/7/2010,5/6/2010,2010,16:30:00,17:00:00,Hidden Falls,cd,Yes,n,,Sunny,None,Breezy,0,4,0,0,0,,,,,,,1 heron,none,No Min/Max/Best,1,0,1,0,No Whales,No Barrier,0,,0,,,,,,,,,,em,Flood,7,117,
25,44,,5/8/2010,5/7/2010,2010,10:30:00,11:00:00,Hidden Falls,cd,Yes,n,,Sunny,None,No Wind,0,3,0,0,0,,,,,,,1 heron,none,No Min/Max/Best,1,0,0,1,No Whales,No Barrier,0,,0,,,,,,,,,,em,Flood,5,420,
26,45,,5/8/2010,5/7/2010,2010,19:00:00,19:30:00,Hidden Falls,cd,Yes,n,,Sunny,None,Breezy,0,2,0,0,0,,,,,,,none,none,No Min/Max/Best,1,0,0,0,No Whales,No Barrier,0,,0,,,,,,,,,,em,Flood,8,210,
27,46,,5/9/2010,5/8/2010,2010,8:30:00,9:00:00,Hidden Falls,cd,Yes,y,,Sunny,None,Breezy,0,3,0,0,0,,,,,,,none,none,No Min/Max/Best,1,0,0,0,No Whales,No Barrier,0,,0,,,,,,,,Seal was sun bathing on walk way near pen #5 (coho pen),,em,Flood,7,250,
28,47,,5/9/2010,5/8/2010,2010,14:30:00,15:00:00,Hidden Falls,cd,Yes,y,,Sunny,None,Breezy,0,2,0,0,0,,,,,,,none,none,No Min/Max/Best,2,1,0,0,No Whales,No Barrier,0,,0,,,,,,,,,,em,Ebb,7,254,
29,48,,5/10/2010,5/9/2010,2010,8:00:00,8:15:00,Hidden Falls,Not Noted,Yes,y,y,Sunny,None,No Wind,0,4,0,0,0,,,,,,,1 river otter,none,No Min/Max/Best,1,0,0,0,No Whales,No Barrier,0,,0,,,,,,,,,,em,Flood,9,162,
30,49,,5/10/2010,5/9/2010,2010,16:20:00,17:00:00,Hidden Falls,mm,Yes,y,y,Sunny,None,No Wind,0,4,0,0,0,,,,,,,none,none,No Min/Max/Best,1,0,0,0,No Whales,No Barrier,0,,0,,,,,,,,,,em,Slack,0,384,
31,50,,5/11/2010,5/10/2010,2010,8:30:00,9:00:00,Hidden Falls,mm,Yes,y,y,Overcast,None,Breezy,0,2,0,0,0,,,,,,,none,none,No Min/Max/Best,1,0,0,0,No Whales,No Barrier,0,,0,,,,,,,,,,em,Flood,11,169,
32,51,,5/11/2010,5/10/2010,2010,14:30:00,15:00:00,Hidden Falls,MM,Yes,y,y,Overcast,None,Breezy,0,4,0,0,0,,,,,,,none,none,No Min/Max/Best,1,0,0,0,No Whales,No Barrier,0,,0,,,,,,,,,,em,Ebb,9,169,
33,52,,5/12/2010,5/11/2010,2010,9:00:00,10:00:00,Hidden Falls,mm,No,n,y,Overcast,Rain,Breezy,0,0,0,0,0,,,,,,,none,none,No Min/Max/Best,1,0,0,0,No Whales,No Barrier,0,,0,,,,,,,,,,em,Flood,12,193,
34,53,,5/12/2010,5/11/2010,2010,14:00:00,15:00:00,Hidden Falls,mm,No,n,y,Partly Cloudy,None,Breezy,0,0,0,0,0,,,,,,,none,none,No Min/Max/Best,1,0,0,0,No Whales,No Barrier,0,,0,,,,,,,,,,em,Ebb,15,118,
35,54,,5/13/2010,5/12/2010,2010,8:30:00,8:45:00,Hidden Falls,Not Noted,yes,y,,Partly Cloudy,None,Breezy,0,3,0,0,0,,,,,,,none,none,No Min/Max/Best,2,0,0,0,No Whales,No Barrier,0,,0,,,,,,,,,,em,Flood,14,82,
36,55,,5/14/2010,5/13/2010,2010,8:30:00,8:55:00,Hidden Falls,mm,Yes,y,y,Partly Cloudy,None,Breezy,0,0,0,0,0,,,,,,,none,none,No Min/Max/Best,1,0,0,0,Breathing at surface & diving,Not noted,1,,0,,,,Not Noted,Uncertain,Yes,,,,em,Flood,14,55,
37,56,x,5/14/2010,5/13/2010,2010,16:00:00,17:00:00,Hidden Falls,mm,Yes,y,y,Sunny,None,No Wind,0,3,0,0,0,,,,,,,none,none,No Min/Max/Best,3,0,2,0,No Whales,No Barrier,0,,0,,,,,,,,,,em,Ebb,15,156,
38,57,x,5/14/2010,5/13/2010,2010,8:45:00,9:00:00,Hidden Falls,no,No,y,y,Sunny,None,Breezy,0,0,0,0,0,,,,,,,none,none,No Min/Max/Best,0,0,0,0,No Whales,No Barrier,0,,0,,,,,,,,check tide; there are two forms for 5/14,,em,Flood,15,60,
39,58,,5/14/2010,5/13/2010,2010,15:00:00,15:15:00,Hidden Falls,mm,No,y,y,Sunny,None,Breezy,0,0,0,0,0,,,,,,,none,none,No Min/Max/Best,1,0,0,0,No Whales,No Barrier,0,,0,,,,,,,,duplicate forms for 5/14,,em,Ebb,15,51,
40,59,,5/15/2010,5/14/2010,2010,9:00:00,9:30:00,Hidden Falls,mm,Yes,y,,Overcast,None,No Wind,0,2,0,0,1,,,,,,,bear,0,No Min/Max/Best,2,0,1,0,No Whales,No Barrier,0,,0,,,,,,,,,,em,Ebb,18,51,
41,60,,5/15/2010,5/14/2010,2010,15:30:00,16:00:00,Hidden Falls,mm,Yes,y,,Partly Cloudy,None,Breezy,0,2,0,0,0,,,,,,,bear,0,No Min/Max/Best,1,0,1,0,No Whales,No Barrier,0,,0,,,,,,,,,,em,Ebb,16,55,
42,61,,5/16/2010,5/15/2010,2010,8:10:00,8:20:00,Hidden Falls,mm,Yes,y,,Sunny,None,No Wind,0,0,0,0,0,,,,,,,none,none,No Min/Max/Best,0,0,0,0,Breathing at surface & diving,Uncertain,1,,0,,,,Not Noted,Uncertain,Yes,,barrier not noted,,em,Ebb,18,60,
43,62,,5/16/2010,5/15/2010,2010,13:30:00,14:00:00,Hidden Falls,cd,Yes,y,,Sunny,None,Breezy,0,1,0,0,0,,,,,,,none,none,No Min/Max/Best,1,0,0,0,Breathing at surface & diving,Uncertain,1,,1,,,,Not Noted,Uncertain,Yes,,barrier not noted,,em,Flood,15,280,
44,63,x,5/16/2010,5/15/2010,2010,16:15:00,17:00:00,Hidden Falls,CD,Yes,y,,Sunny,None,Breezy,0,2,0,0,0,,,,,,,0,0,No Min/Max/Best,0,0,0,0,Breathing at surface & diving,Bubbles,1,,0,,,,Not Noted,Uncertain,Yes,,surface feeding lunges also observed for behavior; shoreline also noted as a barrier,,em,Flood,16,72,
88,107,x,5/16/2010,5/15/2010,2010,17:15:00,17:30:00,Hidden Falls,RM,No,y,,Sunny,None,No Wind,0,1,0,0,0,,,,,,,0,0,No Min/Max/Best,0,0,0,0,No Whales,No Barrier,0,,0,,,,,,,,,,em,Ebb,16,87,
54,73,,5/17/2010,5/16/2010,2010,20:30:00,21:00:00,Hidden Falls,mm,Yes,y,,Overcast,None,Breezy,0,0,0,0,0,,,,,,,none,none,No Min/Max/Best,0,0,0,0,No Whales,No Barrier,0,,0,,,,,,,,Chum release today,,em,Ebb,13,29,
55,74,,5/17/2010,5/16/2010,2010,8:15:00,8:30:00,Hidden Falls,mm,Yes,y,,Partly Cloudy,None,Breezy,0,1,0,0,0,,,,,,,0,0,No Min/Max/Best,1,0,0,0,Other (describe in comments),Other,1,,0,,,,Not Noted,Uncertain,Yes,,breathing at surface and diving & surface feeding lunges; bubble net feeding against shoreline,,em,Ebb,18,306,
124,145,,5/19/2010,5/18/2010,2010,8:20:00,9:05:00,Hidden Falls,mm,No,n,,Overcast,Rain,Windy,0,0,0,0,0,,,,,,,none,none,No Min/Max/Best,1,0,0,0,Breathing at surface & diving,Bubbles,1,,0,,,,Not Noted,Uncertain,Yes,,Also doing surface feeding lunges; barriers: shoreline and net pens,,em,Ebb,14,240,
125,146,,5/19/2010,5/18/2010,2010,16:00:00,16:30:00,Hidden Falls,cd,No,n,,Sunny,None,Breezy,0,3,0,0,0,,,,,,,Not ENTERED,Not ENTERED,No Min/Max/Best,1,0,0,0,Breathing at surface & diving,Net Pens,1,,0,,,,Not Noted,Uncertain,Yes,,also feeding against shoreline,,em,Ebb,14,285,
3,22,,5/20/2010,5/19/2010,2010,8:00:00,8:15:00,Hidden Falls,em,Yes,y,,Partly Cloudy,None,No Wind,0,5,0,0,0,,,,,,,0,0,4/5/2006,0,0,0,0,No Whales,No Barrier,0,,0,,,,,,,,Harbor seals possibly feeding on King returns?,,em,Ebb,12,123,
4,23,x,5/20/2010,5/19/2010,2010,10:00:00,10:18:00,Hidden Falls,em,Yes,y,,Partly Cloudy,None,No Wind,0,1,0,0,0,,,,,,,none,none,"""No Min/Max/Best""",0,0,0,0,No Whales,No Barrier,0,,0,,,,,,,,,,em,Ebb,12,246,
50,69,,5/20/2010,5/19/2010,2010,18:45:00,19:00:00,Hidden Falls,benji,Yes,y,,Partly Cloudy,None,No Wind,0,1,0,0,0,,,,,,,0,0,No Min/Max/Best,1,0,0,0,Breaching,No Barrier,0,,2,,,,,,,,At least 2 whales seen in strait; one whale breached 41 times in a row,,em,Flood,15,242,
106,126,x,5/20/2010,5/19/2010,2010,9:55:00,10:25:00,Hidden Falls,em,Yes,y,,Sunny,None,No Wind,0,1,0,0,0,,,,,,,Not ENTERED,Not ENTERED,No Min/Max/Best,1,0,0,1,No Whales,No Barrier,0,,0,,,,,,,,,,em,Flood,15,225,
51,70,x,5/21/2010,5/20/2010,2010,17:40:00,17:55:00,Hidden Falls,em,No,y,,Overcast,None,Windy,1,1,0,0,0,,,,,,,0,0,No Min/Max/Best,0,0,0,0,No Whales,No Barrier,0,,0,,,,,,,,seals seen with coho sized fish in mouths,,em,Flood,12,238,
52,71,,5/21/2010,5/20/2010,2010,9:40:00,10:20:00,Hidden Falls,em,No,y,,Sunny,None,No Wind,0,0,0,0,0,,,,,,,none,none,No Min/Max/Best,0,0,0,0,No Whales,No Barrier,0,,0,,,,,,,,Hidden Falls resident spotted 2 whales in CS last night after chum release- 3-4 miles out,,em,Ebb,12,171,
53,72,,5/21/2010,5/20/2010,2010,14:00:00,15:30:00,Hidden Falls,em,Yes,y,,Partly Cloudy,None,No Wind,0,2,0,0,0,,,,,,,0,0,No Min/Max/Best,0,0,0,0,No Whales,No Barrier,0,,0,,,,,,,,,,em,Flood,13,98,
48,67,x,5/22/2010,5/21/2010,2010,20:40:00,21:42:00,Hidden Falls,em,No,y,,Overcast,None,No Wind,0,1,0,0,0,,,,,,,0,0,No Min/Max/Best,2,0,0,0,Breathing at surface & diving,Shoreline,1,,0,,,,,,No,,Also surface feeding lunges.  Possibly feeding against net pens.,,em,Flood,17,42.2,
49,68,,5/22/2010,5/21/2010,2010,10:20:00,10:45:00,Hidden Falls,em,Yes,y,,Overcast,None,Breezy,0,1,0,0,0,,,,,,,0,0,No Min/Max/Best,0,0,0,0,Breathing at surface & diving,No Barrier,0,,1,,,,,,,,Whale blows seen ~1 mile into strait; no pecs or flukes seen; whale diving at 10-15 second intervals; whales are seen year round at that spot according to hidden falls resident,,em,Ebb,12,124,
126,147,,5/22/2010,5/21/2010,2010,14:45:00,15:00:00,Hidden Falls,cd,yes,y,,Sunny,None,No Wind,0,0,0,0,0,,,,,,,none,none,No Min/Max/Best,1,1,0,0,Breathing at surface & diving,Shoreline,2,,0,,,,,,Yes,,also doing surface feeding lunges; 2 whales- mom and baby :),,em,Flood,13,70,
57,76,,5/23/2010,5/22/2010,2010,9:50:00,10:30:00,Hidden Falls,em,Yes,n,,Overcast,None,No Wind,0,1,0,0,0,,,,,,,0,0,No Min/Max/Best,0,0,0,0,Breathing at surface & diving,Uncertain,2,,0,,,,Not Noted,Uncertain,Yes,,"Whales sighted around 9:40, right next to pens.  Whales seen at 6:30 AM too.",,em,Slack,0,0,
58,77,,5/23/2010,5/22/2010,2010,14:05:00,14:35:00,Hidden Falls,em/bg,Yes,n,,Overcast,None,No Wind,0,1,0,0,0,,,,,,,0,0,No Min/Max/Best,0,0,0,0,Breathing at surface & diving,No Barrier,1,,0,,,,Not Noted,Uncertain,Yes,,Whale seen by BG between near and far pens at 14:00,,em,Ebb,13,245,
127,148,x,5/23/2010,5/22/2010,2010,6:30:00,6:45:00,Hidden Falls,cd,No,n,,Overcast,None,Breezy,0,3,0,0,0,,,,,,,Not ENTERED,Not ENTERED,No Min/Max/Best,0,0,0,0,Breathing at surface & diving,Shoreline,1,,0,,,,Not noted,Uncertain,Yes,,,,em,Flood,12,165,
45,64,,5/24/2010,5/23/2010,2010,8:00:00,8:15:00,Hidden Falls,mm,Yes,n,,Sunny,Not Noted,Not Noted,0,1,0,0,0,,,,,,,0,0,No Min/Max/Best,0,0,0,0,Breathing at surface & diving,Other,1,,0,,,,,,Yes,,"whale behavior: bubbles, surface feeding lunges; feeding next to dock",,em,Ebb,18,344,
46,65,x,5/24/2010,5/23/2010,2010,9:45:00,10:55:00,Hidden Falls,em,No,n,,Sunny,None,No Wind,0,2,0,0,0,,,,,,,0,0,No Min/Max/Best,1,0,0,0,No Whales,No Barrier,0,,0,,,,,,,,Machinery being operated near pens,,em,Ebb,14,305,
47,66,,5/24/2010,5/23/2010,2010,13:26:00,14:09:00,Hidden Falls,em,No,n,,Sunny,None,No Wind,0,1,0,0,0,,,,,,,0,0,No Min/Max/Best,1,0,0,0,No Whales,No Barrier,0,,0,,,,,,,,Machinery being operated near pens,,em,Ebb,14,119,
81,100,,5/25/2010,5/24/2010,2010,10:45:00,12:07:00,Hidden Falls,em,No,y,,Overcast,None,No Wind,0,1,0,0,0,,,,,,,0,0,No Min/Max/Best,0,0,0,0,No Whales,No Barrier,0,,0,,,,,,,,,,em,Flood,14,295,
82,101,,5/25/2010,5/24/2010,2010,16:15:00,16:50:00,Hidden Falls,em,No,y,,Overcast,None,No Wind,0,0,0,0,0,,,,,,,none,none,No Min/Max/Best,0,0,0,0,No Whales,No Barrier,0,,0,,,,,,,,Coho release today at 13:00,,em,Ebb,14,245,
105,124,x,5/25/2010,5/24/2010,2010,17:30:00,18:10:00,Hidden Falls,lmh,Yes,y,,Overcast,None,No Wind,0,0,0,0,0,,,,,,,none,none,No Min/Max/Best,1,0,0,0,Breaching,Net Pens,1,,0,,,,Not Noted,Uncertain,Yes,,,,em,Slack,0,0,
56,75,,5/26/2010,5/25/2010,2010,16:00:00,16:15:00,Hidden Falls,mm,Yes,y,y,Sunny,None,Breezy,0,3,0,0,0,,,,,,,0,0,No Min/Max/Best,1,0,0,0,Other (describe in comments),Other,1,,0,,,,,,Yes,,"behavior: breathing at surface and diving, surface feeding lunges, and bubbles

barrier: shoreline and bubbles",,em,Flood,15,370,
128,149,,5/27/2010,5/26/2010,2010,9:30:00,10:00:00,Hidden Falls,cd,No,n,y,Sunny,None,No Wind,0,0,0,0,0,,,,,,,none,none,No Min/Max/Best,1,4,1,0,No Whales,No Barrier,0,,0,,,,,,,,,,em,Flood,16,140,
129,150,,5/27/2010,5/26/2010,2010,22:00:00,22:20:00,Hidden Falls,cd,No,n,y,Sunny,None,No Wind,0,0,0,0,0,,,,,,,none,none,No Min/Max/Best,2,4,1,0,Breathing at surface & diving,Shoreline,1,,2,,,,not noted,Uncertain,Yes,,,,em,Flood,18,170,
368,,,4/20/2011,4/19/2011,2011,9:00:00,9:15:00,Hidden Falls,amo,,,,Overcast,None,No Wind,0,0,0,,2,0,0,2,2,3,0,0,0,No Min/Max/Best,1,0,0,0,No Whales,No Barrier,0,,0,,,,,,,,[none],2 people feeding fish on net pens,emc,Not ENTERED,,,Not noted
369,,,4/20/2011,4/19/2011,2011,1:00:00,1:15:00,Hidden Falls,amo,,,,Overcast,Rain,No Wind,0,0,0,,0,0,0,4,2,0,0,0,0,,1,0,0,0,No Whales,No Barrier,0,,0,,,,,,,,,2 people feeding on net pens,emc,Not ENTERED,,,none
370,,,4/21/2011,4/20/2011,2011,9:00:00,9:15:00,Hidden Falls,amo,,,,Overcast,None,No Wind,0,0,0,,2,0,0,2,2,3,0,0,0,,1,0,0,0,No Whales,No Barrier,0,,0,,,,,,,,,2 people feeding fish on net pens,emc,Not ENTERED,,,none
371,,,4/21/2011,4/20/2011,2011,13:00:00,13:15:00,Hidden Falls,amo,,,,Partly Cloudy,None,Breezy,0,0,0,,0,0,0,6,0,1,0,0,0,,2,0,0,0,No Whales,No Barrier,0,,,,,,,,,,[none],1 person feeding on net pens,emc,Not ENTERED,,,none
372,,,4/22/2011,4/21/2011,2011,9:00:00,9:15:00,Hidden Falls,amo,,,,Overcast,Rain,No Wind,0,0,0,,0,0,0,2,0,2,0,0,0,,2,0,0,0,No Whales,No Barrier,0,,0,,,,,,,,,2 people feeding,emc,Not ENTERED,,,none
1017,,,4/22/2011,4/21/2011,2011,13:00:00,13:15:00,Hidden Falls,cd,,,,Overcast,None,Breezy,0,0,0,,0,0,0,11,0,2,0,0,0,,1,0,0,0,No Whales,No Barrier,0,,0,,,,,,,,[none],2 people feeding,emc,Not ENTERED,,,none
373,,,4/23/2011,4/22/2011,2011,9:00:00,9:15:00,Hidden Falls,cdi,,,,Overcast,None,Breezy,0,0,0,,0,0,0,1,0,0,0,0,0,,1,0,0,0,No Whales,No Barrier,0,,0,,,,,,,,none,2 people feeding,emc,Not ENTERED,,,none
374,,,4/23/2011,4/22/2011,2011,13:00:00,13:15:00,Hidden Falls,cd,,,,Partly Cloudy,None,Breezy,0,0,0,,0,0,0,2,0,5,0,0,0,,1,0,0,0,No Whales,No Barrier,0,,0,,,,,,,,none,2 people feeding,emc,Not ENTERED,,,n
375,,,4/24/2011,4/23/2011,2011,9:00:00,9:15:00,Hidden Falls,amo,,,,Partly Cloudy,None,No Wind,0,0,0,,0,0,1,0,1,4,0,0,0,,3,0,0,0,No Whales,No Barrier,0,,0,,,,,,,,none,2 feeding on net pen,emc,,,,none
376,,,4/24/2011,4/23/2011,2011,13:00:00,13:15:00,Hidden Falls,amo,,,,Not Noted,Not Noted,Not Noted,0,0,0,,0,0,0,3,2,2,0,0,0,,1,0,0,0,No Whales,No Barrier,0,,0,,,,,,,,[none],2 people feeding on net pens,emc,Not ENTERED,,,none
377,,,4/25/2011,4/24/2011,2011,9:00:00,9:15:00,Hidden Falls,jp,,,,Overcast,Fog,Breezy,0,0,0,,0,0,0,17,2,4,2,4,0,,1,0,0,0,No Whales,No Barrier,0,,0,,,,,,,,two ravens and 2 mergansers,2 people feeding on net pens,emc,Not ENTERED,,,none
378,,,4/25/2011,4/24/2011,2011,13:00:00,13:15:00,Hidden Falls,jp,,,,Partly Cloudy,None,Windy,0,1,0,,0,0,0,15,2,6,0,0,0,,2,0,0,0,No Whales,No Barrier,0,,0,,,,,,,,none,2 people feeding,emc,,,,none
379,,,4/26/2011,4/25/2011,2011,9:00:00,9:15:00,Hidden Falls,jp,,,,Sunny,None,No Wind,0,0,0,,0,0,0,6,0,4,0,0,0,,1,0,0,0,No Whales,No Barrier,0,,0,,,,,,,,none,feeding chums,emc,Not ENTERED,,,none
380,,,4/26/2011,4/25/2011,2011,13:00:00,13:15:00,Hidden Falls,jp,,,,Sunny,None,Windy,0,0,0,,0,0,0,10,2,4,0,2,0,,2,0,0,0,No Whales,No Barrier,0,,0,,,,,,,,2 ravens,feeding chum,emc,Not ENTERED,,,none
381,,,4/27/2011,4/26/2011,2011,9:00:00,9:15:00,Hidden Falls,amo,,,,Partly Cloudy,None,Breezy,0,1,0,,0,0,0,0,2,3,0,0,0,,2,0,0,0,No Whales,No Barrier,0,,0,,,,,,,,none,3 people working on net pens,emc,Not ENTERED,,,none
382,,,4/27/2011,4/26/2011,2011,13:00:00,13:15:00,Hidden Falls,amo,,,,Partly Cloudy,None,Breezy,0,0,0,,0,0,0,0,0,4,0,0,0,,1,0,0,0,No Whales,No Barrier,0,,0,,,,,,,,none,1 person feeding chums on netpens,emc,Not ENTERED,,,some small schools of fry
383,,,4/28/2011,4/27/2011,2011,9:00:00,9:15:00,Hidden Falls,amo,,,,Sunny,None,No Wind,0,0,0,,0,0,0,0,0,0,0,0,0,,2,0,0,0,No Whales,No Barrier,0,,0,,,,,,,,none,2 people feeding chum,emc,Not ENTERED,,,none
384,,,4/28/2011,4/27/2011,2011,13:00:00,13:15:00,Hidden Falls,amo,,,,Sunny,None,No Wind,0,0,0,,0,0,0,1,0,4,0,0,0,,2,0,0,0,No Whales,No Barrier,0,,0,,,,,,,,none,1 person feeding chum,emc,Not ENTERED,,,none
385,,,4/29/2011,4/28/2011,2011,9:00:00,9:15:00,Hidden Falls,amo,,,,Not Noted,Not Noted,Not Noted,0,1,0,,0,0,0,0,1,3,0,0,0,,3,0,0,0,No Whales,No Barrier,0,,0,,,,,,,,none,2 people feeding chums and 2 people moving net pens,emc,Not ENTERED,,,none
387,,,4/29/2011,4/28/2011,2011,13:00:00,13:15:00,Hidden Falls,amo,,,,Partly Cloudy,Rain,No Wind,0,0,0,,0,0,0,0,0,0,0,0,0,,2,0,0,0,No Whales,No Barrier,0,,0,,,,,,,,none,2 people feeding chum,emc,Not ENTERED,,,
